E2-T07 real-HTTP authorization matrix
platform=production-wiring official=durable-streams-reference auth0=emulator-pin-82eb835947c9
http case=read.anonymous.public status=200 body={"ok":true,"events":[{"payload":{"actor":"auth0|e2-t07-owner","repo":"forest","writer":{"op":"e2-t07-operation-5","seq":1,"sub":"auth0|e2-t07-owner","v":1}},"ts":10,"type":"repo.seeded"}],"count":1,"identityOffset":"0000000000000000_0000000000008483","basis":"public"}
http case=follow.anonymous.public status=200 body={"ok":true,"events":[{"payload":{"actor":"auth0|e2-t07-owner","repo":"forest","writer":{"op":"e2-t07-operation-5","seq":1,"sub":"auth0|e2-t07-owner","v":1}},"ts":10,"type":"repo.seeded"}],"after":1,"identityOffset":"0000000000000000_0000000000008483","basis":"public"}
http case=dispatch.anonymous.public status=401 body={"error":{"code":"unauthorized","reason":"missing_bearer_token"}}
http case=read.anonymous.private status=404 body={"error":{"code":"authz_refused","reason":"authz/not-found","identityOffset":"0000000000000000_0000000000008483"}}
http case=follow.anonymous.private status=404 body={"error":{"code":"authz_refused","reason":"authz/not-found","identityOffset":"0000000000000000_0000000000008483"}}
http case=dispatch.anonymous.private status=401 body={"error":{"code":"unauthorized","reason":"missing_bearer_token"}}
http case=read.anonymous.missing-repo status=404 body={"error":{"code":"authz_refused","reason":"authz/not-found","identityOffset":"0000000000000000_0000000000008483"}}
http case=follow.anonymous.missing-repo status=404 body={"error":{"code":"authz_refused","reason":"authz/not-found","identityOffset":"0000000000000000_0000000000008483"}}
http case=dispatch.anonymous.missing-repo status=401 body={"error":{"code":"unauthorized","reason":"missing_bearer_token"}}
http case=read.anonymous.missing-org status=404 body={"error":{"code":"authz_refused","reason":"authz/not-found","identityOffset":"0000000000000000_0000000000008483"}}
http case=follow.anonymous.missing-org status=404 body={"error":{"code":"authz_refused","reason":"authz/not-found","identityOffset":"0000000000000000_0000000000008483"}}
http case=dispatch.anonymous.missing-org status=401 body={"error":{"code":"unauthorized","reason":"missing_bearer_token"}}
http case=read.owner.public status=200 body={"ok":true,"events":[{"payload":{"actor":"auth0|e2-t07-owner","repo":"forest","writer":{"op":"e2-t07-operation-5","seq":1,"sub":"auth0|e2-t07-owner","v":1}},"ts":10,"type":"repo.seeded"}],"count":1,"identityOffset":"0000000000000000_0000000000008483","basis":"public"}
http case=follow.owner.public status=200 body={"ok":true,"events":[{"payload":{"actor":"auth0|e2-t07-owner","repo":"forest","writer":{"op":"e2-t07-operation-5","seq":1,"sub":"auth0|e2-t07-owner","v":1}},"ts":10,"type":"repo.seeded"}],"after":1,"identityOffset":"0000000000000000_0000000000008483","basis":"public"}
http case=read.owner.private status=200 body={"ok":true,"events":[{"payload":{"actor":"auth0|e2-t07-owner","repo":"secret","writer":{"op":"e2-t07-operation-6","seq":1,"sub":"auth0|e2-t07-owner","v":1}},"ts":10,"type":"repo.seeded"}],"count":1,"identityOffset":"0000000000000000_0000000000008483","basis":"repo-owner"}
http case=follow.owner.private status=200 body={"ok":true,"events":[{"payload":{"actor":"auth0|e2-t07-owner","repo":"secret","writer":{"op":"e2-t07-operation-6","seq":1,"sub":"auth0|e2-t07-owner","v":1}},"ts":10,"type":"repo.seeded"}],"after":1,"identityOffset":"0000000000000000_0000000000008483","basis":"repo-owner"}
http case=read.owner.missing-repo status=404 body={"error":{"code":"authz_refused","reason":"authz/not-found","identityOffset":"0000000000000000_0000000000008483"}}
http case=follow.owner.missing-repo status=404 body={"error":{"code":"authz_refused","reason":"authz/not-found","identityOffset":"0000000000000000_0000000000008483"}}
http case=dispatch.owner.missing-repo status=404 body={"error":{"code":"authz_refused","reason":"authz/not-found","identityOffset":"0000000000000000_0000000000008483"}}
http case=read.owner.missing-org status=404 body={"error":{"code":"authz_refused","reason":"authz/not-found","identityOffset":"0000000000000000_0000000000008483"}}
http case=follow.owner.missing-org status=404 body={"error":{"code":"authz_refused","reason":"authz/not-found","identityOffset":"0000000000000000_0000000000008483"}}
http case=dispatch.owner.missing-org status=404 body={"error":{"code":"authz_refused","reason":"authz/not-found","identityOffset":"0000000000000000_0000000000008483"}}
http case=read.admin.public status=200 body={"ok":true,"events":[{"payload":{"actor":"auth0|e2-t07-owner","repo":"forest","writer":{"op":"e2-t07-operation-5","seq":1,"sub":"auth0|e2-t07-owner","v":1}},"ts":10,"type":"repo.seeded"}],"count":1,"identityOffset":"0000000000000000_0000000000008483","basis":"public"}
http case=follow.admin.public status=200 body={"ok":true,"events":[{"payload":{"actor":"auth0|e2-t07-owner","repo":"forest","writer":{"op":"e2-t07-operation-5","seq":1,"sub":"auth0|e2-t07-owner","v":1}},"ts":10,"type":"repo.seeded"}],"after":1,"identityOffset":"0000000000000000_0000000000008483","basis":"public"}
http case=dispatch.admin.public status=403 body={"error":{"code":"authz_refused","reason":"authz/write-grant-required","identityOffset":"0000000000000000_0000000000008483"}}
http case=read.admin.private status=200 body={"ok":true,"events":[{"payload":{"actor":"auth0|e2-t07-owner","repo":"secret","writer":{"op":"e2-t07-operation-6","seq":1,"sub":"auth0|e2-t07-owner","v":1}},"ts":10,"type":"repo.seeded"}],"count":1,"identityOffset":"0000000000000000_0000000000008483","basis":"membership:admin"}
http case=follow.admin.private status=200 body={"ok":true,"events":[{"payload":{"actor":"auth0|e2-t07-owner","repo":"secret","writer":{"op":"e2-t07-operation-6","seq":1,"sub":"auth0|e2-t07-owner","v":1}},"ts":10,"type":"repo.seeded"}],"after":1,"identityOffset":"0000000000000000_0000000000008483","basis":"membership:admin"}
http case=dispatch.admin.private status=403 body={"error":{"code":"authz_refused","reason":"authz/write-grant-required","identityOffset":"0000000000000000_0000000000008483"}}
http case=read.admin.missing-repo status=404 body={"error":{"code":"authz_refused","reason":"authz/not-found","identityOffset":"0000000000000000_0000000000008483"}}
http case=follow.admin.missing-repo status=404 body={"error":{"code":"authz_refused","reason":"authz/not-found","identityOffset":"0000000000000000_0000000000008483"}}
http case=dispatch.admin.missing-repo status=404 body={"error":{"code":"authz_refused","reason":"authz/not-found","identityOffset":"0000000000000000_0000000000008483"}}
http case=read.admin.missing-org status=404 body={"error":{"code":"authz_refused","reason":"authz/not-found","identityOffset":"0000000000000000_0000000000008483"}}
http case=follow.admin.missing-org status=404 body={"error":{"code":"authz_refused","reason":"authz/not-found","identityOffset":"0000000000000000_0000000000008483"}}
http case=dispatch.admin.missing-org status=404 body={"error":{"code":"authz_refused","reason":"authz/not-found","identityOffset":"0000000000000000_0000000000008483"}}
http case=read.member.public status=200 body={"ok":true,"events":[{"payload":{"actor":"auth0|e2-t07-owner","repo":"forest","writer":{"op":"e2-t07-operation-5","seq":1,"sub":"auth0|e2-t07-owner","v":1}},"ts":10,"type":"repo.seeded"}],"count":1,"identityOffset":"0000000000000000_0000000000008483","basis":"public"}
http case=follow.member.public status=200 body={"ok":true,"events":[{"payload":{"actor":"auth0|e2-t07-owner","repo":"forest","writer":{"op":"e2-t07-operation-5","seq":1,"sub":"auth0|e2-t07-owner","v":1}},"ts":10,"type":"repo.seeded"}],"after":1,"identityOffset":"0000000000000000_0000000000008483","basis":"public"}
http case=dispatch.member.public status=403 body={"error":{"code":"authz_refused","reason":"authz/write-grant-required","identityOffset":"0000000000000000_0000000000008483"}}
http case=read.member.private status=200 body={"ok":true,"events":[{"payload":{"actor":"auth0|e2-t07-owner","repo":"secret","writer":{"op":"e2-t07-operation-6","seq":1,"sub":"auth0|e2-t07-owner","v":1}},"ts":10,"type":"repo.seeded"}],"count":1,"identityOffset":"0000000000000000_0000000000008483","basis":"membership:member"}
http case=follow.member.private status=200 body={"ok":true,"events":[{"payload":{"actor":"auth0|e2-t07-owner","repo":"secret","writer":{"op":"e2-t07-operation-6","seq":1,"sub":"auth0|e2-t07-owner","v":1}},"ts":10,"type":"repo.seeded"}],"after":1,"identityOffset":"0000000000000000_0000000000008483","basis":"membership:member"}
