E3_T02_REPLAY_CLI_CONTRACT_OK version=1.8.2 target=darwin-arm64 closure-packages=281 closure-files=16475 closure-edges=580 closure-missing=20 closure-sha256=beb1ebe2db0d46ff2e6af5b565520b2d30ddce4c5b6d8ffc8a9412ba14e29e71 direct-mutation=red transitive-chalk-mutation=red transitive-edge-rewire=red resolver=red helper-preflight=red hostile-path=red hostile-home=red node-injection=red trusted-help=green
missing=node-fetch@2.7.0/node_modules/node-fetch|optionalPeerDependency|encoding|^0.1.0|encoding
missing=snappy@7.3.3_@emnapi+core@1.11.1_@emnapi+runtime@1.11.1/node_modules/snappy|optionalDependency|@napi-rs/snappy-android-arm-eabi|7.3.3|@napi-rs/snappy-android-arm-eabi
missing=snappy@7.3.3_@emnapi+core@1.11.1_@emnapi+runtime@1.11.1/node_modules/snappy|optionalDependency|@napi-rs/snappy-android-arm64|7.3.3|@napi-rs/snappy-android-arm64
missing=snappy@7.3.3_@emnapi+core@1.11.1_@emnapi+runtime@1.11.1/node_modules/snappy|optionalDependency|@napi-rs/snappy-darwin-x64|7.3.3|@napi-rs/snappy-darwin-x64
missing=snappy@7.3.3_@emnapi+core@1.11.1_@emnapi+runtime@1.11.1/node_modules/snappy|optionalDependency|@napi-rs/snappy-freebsd-x64|7.3.3|@napi-rs/snappy-freebsd-x64
missing=snappy@7.3.3_@emnapi+core@1.11.1_@emnapi+runtime@1.11.1/node_modules/snappy|optionalDependency|@napi-rs/snappy-linux-arm-gnueabihf|7.3.3|@napi-rs/snappy-linux-arm-gnueabihf
missing=snappy@7.3.3_@emnapi+core@1.11.1_@emnapi+runtime@1.11.1/node_modules/snappy|optionalDependency|@napi-rs/snappy-linux-arm64-gnu|7.3.3|@napi-rs/snappy-linux-arm64-gnu
missing=snappy@7.3.3_@emnapi+core@1.11.1_@emnapi+runtime@1.11.1/node_modules/snappy|optionalDependency|@napi-rs/snappy-linux-arm64-musl|7.3.3|@napi-rs/snappy-linux-arm64-musl
missing=snappy@7.3.3_@emnapi+core@1.11.1_@emnapi+runtime@1.11.1/node_modules/snappy|optionalDependency|@napi-rs/snappy-linux-ppc64-gnu|7.3.3|@napi-rs/snappy-linux-ppc64-gnu
missing=snappy@7.3.3_@emnapi+core@1.11.1_@emnapi+runtime@1.11.1/node_modules/snappy|optionalDependency|@napi-rs/snappy-linux-riscv64-gnu|7.3.3|@napi-rs/snappy-linux-riscv64-gnu
missing=snappy@7.3.3_@emnapi+core@1.11.1_@emnapi+runtime@1.11.1/node_modules/snappy|optionalDependency|@napi-rs/snappy-linux-s390x-gnu|7.3.3|@napi-rs/snappy-linux-s390x-gnu
missing=snappy@7.3.3_@emnapi+core@1.11.1_@emnapi+runtime@1.11.1/node_modules/snappy|optionalDependency|@napi-rs/snappy-linux-x64-gnu|7.3.3|@napi-rs/snappy-linux-x64-gnu
missing=snappy@7.3.3_@emnapi+core@1.11.1_@emnapi+runtime@1.11.1/node_modules/snappy|optionalDependency|@napi-rs/snappy-linux-x64-musl|7.3.3|@napi-rs/snappy-linux-x64-musl
missing=snappy@7.3.3_@emnapi+core@1.11.1_@emnapi+runtime@1.11.1/node_modules/snappy|optionalDependency|@napi-rs/snappy-openharmony-arm64|7.3.3|@napi-rs/snappy-openharmony-arm64
missing=snappy@7.3.3_@emnapi+core@1.11.1_@emnapi+runtime@1.11.1/node_modules/snappy|optionalDependency|@napi-rs/snappy-wasm32-wasi|7.3.3|@napi-rs/snappy-wasm32-wasi
missing=snappy@7.3.3_@emnapi+core@1.11.1_@emnapi+runtime@1.11.1/node_modules/snappy|optionalDependency|@napi-rs/snappy-win32-arm64-msvc|7.3.3|@napi-rs/snappy-win32-arm64-msvc
missing=snappy@7.3.3_@emnapi+core@1.11.1_@emnapi+runtime@1.11.1/node_modules/snappy|optionalDependency|@napi-rs/snappy-win32-ia32-msvc|7.3.3|@napi-rs/snappy-win32-ia32-msvc
missing=snappy@7.3.3_@emnapi+core@1.11.1_@emnapi+runtime@1.11.1/node_modules/snappy|optionalDependency|@napi-rs/snappy-win32-x64-msvc|7.3.3|@napi-rs/snappy-win32-x64-msvc
missing=ws@7.5.13/node_modules/ws|optionalPeerDependency|bufferutil|^4.0.1|bufferutil
missing=ws@7.5.13/node_modules/ws|optionalPeerDependency|utf-8-validate|^5.0.2|utf-8-validate
